company,account,fiscal_year,original_report_value,following_report_comparative_value,absolute_diff,relative_diff_pct,classification,evidence
SK hynix,assets,2019,64789494,65248350,458856,0.71,restatement,"unit=MKRW; original filing rcept_no=20200330004441 (FY2019 annual), following filing rcept_no=20210330000776 (FY2020 annual); statement-matched pair(s) differ in the following filing — BS: 64,789,494 -> 65,248,350"
SK hynix,equity,2019,47943195,47935882,-7313,-0.02,restatement,"unit=MKRW; original filing rcept_no=20200330004441 (FY2019 annual), following filing rcept_no=20210330000776 (FY2020 annual); statement-matched pair(s) differ in the following filing — BS: 47,943,195 -> 47,935,882"
SK hynix,interest_expense,2019,1514869,1531417,16548,1.09,restatement,"unit=MKRW; original filing rcept_no=20200330004441 (FY2019 annual), following filing rcept_no=20210330000776 (FY2020 annual); statement-matched pair(s) differ in the following filing — CIS: 1,514,869 -> 1,531,417"
SK hynix,liabilities,2019,16846299,17312468,466169,2.77,restatement,"unit=MKRW; original filing rcept_no=20200330004441 (FY2019 annual), following filing rcept_no=20210330000776 (FY2020 annual); statement-matched pair(s) differ in the following filing — BS: 16,846,299 -> 17,312,468"
SK hynix,net_income,2019,2016391,2009078,-7313,-0.36,restatement,"unit=MKRW; original filing rcept_no=20200330004441 (FY2019 annual), following filing rcept_no=20210330000776 (FY2020 annual); statement-matched pair(s) differ in the following filing — CIS: 2,016,391 -> 2,009,078; SCE: 2,013,288 -> 2,005,975; multi-candidate hazard (account_nm-only lookup also matches other statements): original[당기순이익(CIS)=2,016,391 | 당기순이익(SCE)=2,013,288 | 당기순이익(SCE)=2,016,391 | 당기순이익(SCE)=3,103 | 당기순이익(SCE)=2,013,288] following[당기순이익(CIS)=2,009,078 | 당기순이익(SCE)=2,005,975 | 당기순이익(SCE)=2,005,975 | 당기순이익(SCE)=3,103 | 당기순이익(SCE)=2,009,078]"
SK hynix,op,2019,2712718,2719179,6461,0.24,restatement,"unit=MKRW; original filing rcept_no=20200330004441 (FY2019 annual), following filing rcept_no=20210330000776 (FY2020 annual); statement-matched pair(s) differ in the following filing — CIS: 2,712,718 -> 2,719,179"
SK hynix,assets,2021,96386474,96346525,-39949,-0.04,restatement,"unit=MKRW; original filing rcept_no=20220322000590 (FY2021 annual), following filing rcept_no=20230321001209 (FY2022 annual); statement-matched pair(s) differ in the following filing — BS: 96,386,474 -> 96,346,525"
SK hynix,liabilities,2021,34195416,34155467,-39949,-0.12,restatement,"unit=MKRW; original filing rcept_no=20220322000590 (FY2021 annual), following filing rcept_no=20230321001209 (FY2022 annual); statement-matched pair(s) differ in the following filing — BS: 34,195,416 -> 34,155,467"
LG Electronics,interest_expense,2020,1116043,892751,-223292,-20.01,restatement,"unit=MKRW; original filing rcept_no=20210316000661 (FY2020 annual), following filing rcept_no=20220316000886 (FY2021 annual); statement-matched pair(s) differ in the following filing — IS: 1,116,043 -> 892,751"
LG Electronics,op,2020,3194987,3905108,710121,22.23,restatement,"unit=MKRW; original filing rcept_no=20210316000661 (FY2020 annual), following filing rcept_no=20220316000886 (FY2021 annual); statement-matched pair(s) differ in the following filing — IS: 3,194,987 -> 3,905,108; account label alias changed '영업이익' -> '영업이익(손실)' (both map to the same key)"
LG Electronics,revenue,2020,63262046,58057908,-5204138,-8.23,restatement,"unit=MKRW; original filing rcept_no=20210316000661 (FY2020 annual), following filing rcept_no=20220316000886 (FY2021 annual); statement-matched pair(s) differ in the following filing — IS: 63,262,046 -> 58,057,908"
LG Electronics,interest_expense,2021,690401,660571,-29830,-4.32,restatement,"unit=MKRW; original filing rcept_no=20220316000886 (FY2021 annual), following filing rcept_no=20230317000955 (FY2022 annual); statement-matched pair(s) differ in the following filing — IS: 690,401 -> 660,571"
LG Electronics,op,2021,3863774,4057997,194223,5.03,restatement,"unit=MKRW; original filing rcept_no=20220316000886 (FY2021 annual), following filing rcept_no=20230317000955 (FY2022 annual); statement-matched pair(s) differ in the following filing — IS: 3,863,774 -> 4,057,997"
LG Electronics,revenue,2021,74721629,73907984,-813645,-1.09,restatement,"unit=MKRW; original filing rcept_no=20220316000886 (FY2021 annual), following filing rcept_no=20230317000955 (FY2022 annual); statement-matched pair(s) differ in the following filing — IS: 74,721,629 -> 73,907,984"
LG Electronics,interest_expense,2023,1425480,1381297,-44183,-3.1,restatement,"unit=MKRW; original filing rcept_no=20240318000755 (FY2023 annual), following filing rcept_no=20250317001029 (FY2024 annual); statement-matched pair(s) differ in the following filing — IS: 1,425,480 -> 1,381,297"
LG Electronics,op,2023,3549074,3653294,104220,2.94,restatement,"unit=MKRW; original filing rcept_no=20240318000755 (FY2023 annual), following filing rcept_no=20250317001029 (FY2024 annual); statement-matched pair(s) differ in the following filing — IS: 3,549,074 -> 3,653,294"
LG Electronics,revenue,2023,84227765,82262664,-1965101,-2.33,restatement,"unit=MKRW; original filing rcept_no=20240318000755 (FY2023 annual), following filing rcept_no=20250317001029 (FY2024 annual); statement-matched pair(s) differ in the following filing — IS: 84,227,765 -> 82,262,664"
